magnet,field
2.66,-0.012789223
2.67,-0.012696006
2.68,-0.01260362
2.69,-0.012511414
2.7,-0.012419851
2.71,-0.01232569
2.72,-0.012235508
2.73,-0.012144053
2.74,-0.012052178
2.75,-0.011966838
2.76,-0.011882555
2.77,-0.011794491
2.78,-0.01170647
2.79,-0.011622202
2.8,-0.011545285
2.81,-0.011463759
2.82,-0.011376957
2.83,-0.011289326
2.84,-0.011205119
2.85,-0.0111284
2.86,-0.011046602
2.87,-0.01096512
2.88,-0.010882909
2.89,-0.010799325
2.9,-0.010714125
2.91,-0.010640097
2.92,-0.010568537
2.93,-0.010494168
2.94,-0.01041742
2.95,-0.010344431
2.96,-0.010265723
2.97,-0.010188787
2.98,-0.010115392
2.99,-0.01004295
3,-0.009964519
3.01,-0.009896185
3.02,-0.009828773
3.03,-0.009761556
3.04,-0.009692198
3.05,-0.009616756
3.06,-0.009546141
3.07,-0.009479822
3.08,-0.009412641
3.09,-0.009345651
3.1,-0.009286122
3.11,-0.009217344
3.12,-0.009152499
3.13,-0.009084307
3.14,-0.009014466
3.15,-0.008953654
3.16,-0.008895009
3.17,-0.008825935
3.18,-0.008761307
3.19,-0.008703721
3.2,-0.0086435
3.21,-0.008582347
3.22,-0.00852725
3.23,-0.008465893
3.24,-0.008399072
3.25,-0.008340694
3.26,-0.008281928
3.27,-0.008225612
3.28,-0.008166154
3.29,-0.008105602
3.3,-0.008053645
3.31,-0.007992294
3.32,-0.007935211
3.33,-0.007879178
3.34,-0.007823891
3.35,-0.007771961
3.36,-0.007718979
3.37,-0.007668621
3.38,-0.007608946
3.39,-0.007547897
3.4,-0.007513294
3.41,-0.007458341
3.42,-0.007409101
3.43,-0.007353146
3.44,-0.007290954
3.45,-0.007235902
3.46,-0.007181356
3.47,-0.007123654
3.48,-0.007118402
3.49,-0.007129515
3.5,-0.007029221
3.51,-0.007050951
3.52,-0.006973125
3.53,-0.006874411
3.54,-0.006799616
3.55,-0.006759686
3.56,-0.006698985
3.57,-0.006664146
3.58,-0.006625558
3.59,-0.006577761
3.6,-0.006539445
3.61,-0.006495479
3.62,-0.006443962
3.63,-0.006399687
3.64,-0.006365281
3.65,-0.006331198
3.66,-0.006291713
3.67,-0.006240801
3.68,-0.006194337
3.69,-0.006156865
3.7,-0.006121596
3.71,-0.006078409
3.72,-0.006039136
3.73,-0.006001384
3.74,-0.00596476
3.75,-0.005930872
3.76,-0.005890687
3.77,-0.005847304
3.78,-0.005806795
3.79,-0.005771187
3.8,-0.005738464
3.81,-0.005698887
3.82,-0.00566693
3.83,-0.005633541
3.84,-0.005599308
3.85,-0.005574452
3.86,-0.005530722
3.87,-0.005490122
3.88,-0.005459392
3.89,-0.00543332
3.9,-0.005394745
3.91,-0.005362236
3.92,-0.005339295
3.93,-0.005311964
3.94,-0.005275307
3.95,-0.005233419
3.96,-0.00521228
3.97,-0.005182366
3.98,-0.005149285
3.99,-0.005116281
4,-0.005084231
