time,x,y
0.002434,6.74748,9.37172
0.002434,6.74817,9.37259
0.002434,6.74802,9.37116
0.002434,6.74656,9.37187
0.002434,6.74695,9.37059
0.002434,6.74666,9.37288
0.002434,6.74683,9.37078
0.002434,6.7457,9.37153
0.002434,6.74581,9.3715
0.002434,6.74522,9.37006
0.002434,6.74561,9.37006
0.002434,6.74516,9.36962
0.002434,6.74452,9.371
0.002434,6.74503,9.37025
0.002434,6.74445,9.36925
0.002434,6.74333,9.369
0.002434,6.74448,9.36919
0.002434,6.74411,9.36925
0.002434,6.74252,9.37166
0.002434,6.74308,9.36984
0.002435,6.74244,9.37016
0.002435,6.74298,9.36891
0.002435,6.7422,9.37044
0.002435,6.74217,9.36719
0.002435,6.74067,9.36828
0.002435,6.74142,9.36806
0.002435,6.74144,9.36828
0.002435,6.74144,9.36728
0.002435,6.74078,9.36778
0.002435,6.73956,9.36759
0.002435,6.74106,9.3665
0.002435,6.7407,9.36606
0.002435,6.73964,9.36534
0.002435,6.73881,9.36647
0.002435,6.73964,9.36538
0.002435,6.73872,9.36706
0.002435,6.73728,9.36584
0.002435,6.73934,9.36606
0.002435,6.73747,9.36631
0.002435,6.73863,9.3655
0.002435,6.73742,9.36506
0.002435,6.73653,9.36516
0.002435,6.73722,9.36316
0.002435,6.73727,9.36316
0.002435,6.73664,9.36581
0.002436,6.73609,9.36337
0.002436,6.73631,9.36406
0.002436,6.73566,9.3625
0.002436,6.73555,9.36447
0.002436,6.73541,9.36409
0.002436,6.73545,9.36241
0.002436,6.73481,9.36356
0.002436,6.73548,9.36341
0.002436,6.73477,9.36419
0.002436,6.73348,9.36375
0.002436,6.73314,9.36256
0.002436,6.7328,9.36284
0.002436,6.73255,9.3625
0.002436,6.73252,9.36262
0.002436,6.73295,9.36078
0.002436,6.73275,9.36175
0.002436,6.73138,9.361
0.002436,6.73144,9.36212
0.002436,6.73048,9.35903
0.002436,6.72956,9.36013
0.002436,6.72984,9.35938
0.002436,6.73008,9.35922
0.002436,6.73039,9.36084
0.002436,6.73014,9.35947
0.002436,6.72941,9.35938
0.002437,6.72873,9.3605
0.002437,6.72913,9.35994
0.002437,6.7282,9.35906
0.002437,6.72828,9.35841
0.002437,6.72794,9.35878
0.002437,6.72734,9.35953
0.002437,6.72714,9.35931
0.002437,6.72769,9.35766
0.002437,6.72684,9.35703
0.002437,6.72575,9.35822
0.002437,6.72627,9.35878
0.002437,6.72597,9.35847
0.002437,6.72566,9.358
0.002437,6.72623,9.35712
0.002437,6.72622,9.35669
0.002437,6.72569,9.35762
0.002437,6.725,9.35631
0.002437,6.72484,9.35606
0.002437,6.72509,9.35744
0.002437,6.725,9.35547
0.002437,6.72492,9.35697
0.002437,6.72552,9.35556
0.002437,6.72381,9.35519
0.002437,6.72303,9.35541
0.002437,6.72383,9.35578
