x,time
4.1088000000000005,-0.0007691999999999998
4.1088000000000005,-0.0007691
4.1098,-0.0007690000000000002
4.1092,-0.0007688999999999999
4.1094,-0.0007688
4.1084000000000005,-0.0007687000000000002
4.1082,-0.0007685999999999999
4.1094,-0.0007685000000000001
4.108,-0.0007684000000000002
4.1094,-0.0007683
4.1094,-0.0007682000000000001
4.1094,-0.0007680999999999999
4.1082,-0.000768
4.1082,-0.0007679000000000002
4.1092,-0.0007677999999999999
4.109,-0.0007677000000000001
4.1096,-0.0007676000000000002
4.1108,-0.0007675
4.1112,-0.0007674000000000001
4.1112,-0.0007672999999999998
4.1106,-0.0007672
4.1106,-0.0007671000000000002
4.1102,-0.0007669999999999999
4.1106,-0.0007669
4.11,-0.0007668000000000002
4.1094,-0.0007666999999999999
4.1098,-0.0007666000000000001
4.1092,-0.0007664999999999998
4.1114,-0.0007664
4.1104,-0.0007663000000000001
4.1092,-0.0007661999999999999
4.1108,-0.0007661
4.1094,-0.0007660000000000002
4.1094,-0.0007658999999999999
4.1098,-0.0007658000000000001
4.1108,-0.0007657000000000002
4.112,-0.0007656
4.1128,-0.0007655000000000001
4.1124,-0.0007653999999999998
4.113,-0.0007653
4.1134,-0.0007652000000000002
4.1138,-0.0007650999999999999
4.1116,-0.0007650000000000001
4.1118,-0.0007649000000000002
4.1114,-0.0007647999999999999
4.1112,-0.0007647000000000001
4.111,-0.0007645999999999998
4.111,-0.0007645
4.1108,-0.0007644000000000001
4.1106,-0.0007642999999999999
4.1102,-0.0007642
4.1106,-0.0007641000000000002
4.11,-0.0007639999999999999
4.11,-0.0007639000000000001
4.1102,-0.0007638000000000002
4.1092,-0.0007637
4.1088000000000005,-0.0007636000000000001
4.109,-0.0007634999999999999
4.1092,-0.0007634
4.1082,-0.0007633000000000002
4.1096,-0.0007631999999999999
4.1092,-0.0007631000000000001
4.1092,-0.0007630000000000002
4.1094,-0.0007629
4.1094,-0.0007628000000000001
4.1084000000000005,-0.0007626999999999998
4.1096,-0.0007626
4.1102,-0.0007625000000000002
4.1106,-0.0007623999999999999
4.11,-0.0007623
4.1098,-0.0007622000000000002
4.1084000000000005,-0.0007620999999999999
4.1102,-0.0007620000000000001
4.111,-0.0007619000000000003
4.1112,-0.0007618
4.1098,-0.0007617000000000001
4.1114,-0.0007615999999999999
4.111,-0.0007615
4.1118,-0.0007614000000000002
4.1108,-0.0007612999999999999
4.1112,-0.0007612000000000001
4.1126000000000005,-0.0007611000000000002
4.1122,-0.000761
4.113,-0.0007609000000000001
4.1126000000000005,-0.0007607999999999998
4.1124,-0.0007607
4.1128,-0.0007606000000000002
4.1114,-0.0007604999999999999
4.1112,-0.0007604
4.1116,-0.0007603000000000002
4.1112,-0.0007601999999999999
4.1116,-0.0007601000000000001
4.1118,-0.0007599999999999998
4.1116,-0.0007599
4.1128,-0.0007598000000000001
4.1134,-0.0007596999999999999
4.1122,-0.0007596
4.1116,-0.0007595000000000002
4.1128,-0.0007593999999999999
4.1122,-0.0007593000000000001
4.1106,-0.0007592000000000002
4.1106,-0.0007591
4.1098,-0.0007590000000000001
4.11,-0.0007588999999999999
4.1112,-0.0007588
4.1092,-0.0007587000000000002
4.1092,-0.0007585999999999999
4.1098,-0.0007585000000000001
4.1104,-0.0007584000000000002
4.1102,-0.0007583
4.1102,-0.0007582000000000001
4.1104,-0.0007580999999999998
4.1096,-0.000758
4.1096,-0.0007579000000000002
4.1096,-0.0007577999999999999
4.1104,-0.0007577
4.1102,-0.0007576000000000002
4.1102,-0.0007574999999999999
4.1096,-0.0007574000000000001
4.111,-0.0007573000000000002
4.1088000000000005,-0.0007572
4.1094,-0.0007571000000000001
4.1086,-0.0007569999999999999
4.1094,-0.0007569
4.1086,-0.0007568000000000002
4.1092,-0.0007566999999999999
4.109,-0.0007566000000000001
4.1092,-0.0007565000000000002
4.1086,-0.0007564
4.1094,-0.0007563000000000001
4.1094,-0.0007561999999999998
4.1092,-0.0007561
4.1092,-0.0007560000000000002
4.109,-0.0007558999999999999
4.109,-0.0007558
4.1086,-0.0007557000000000002
4.1088000000000005,-0.0007555999999999999
4.1092,-0.0007555000000000001
4.1108,-0.0007553999999999998
4.1094,-0.0007553
4.1112,-0.0007552000000000001
4.1096,-0.0007550999999999999
4.1106,-0.000755
4.1096,-0.0007549000000000002
