time,col0,col1,col2,col3,col4
0.002555,6.8566,6.9046,6.8486,6.8086,6.7926
0.002556,6.8646,6.8806,6.8486,6.7926,6.7926
0.0025570000000000002,6.8406,6.8726,6.8166,6.7846,6.7846
0.0025579999999999995,6.8326,6.8806,6.8246,6.7846,6.7846
0.0025589999999999996,6.8326,6.8646,6.8166,6.7926,6.7766
0.0025599999999999998,6.8246,6.8486,6.8246,6.7766,6.7766
0.002561,6.8246,6.8566,6.8166,6.7766,6.7686
0.002562,6.8246,6.8566,6.8086,6.7686,6.7686
0.002563,6.8166,6.8406,6.8166,6.7686,6.7686
0.0025639999999999994,6.8246,6.8486,6.7926,6.7686,6.7526
0.0025649999999999996,6.8086,6.8406,6.7926,6.7686,6.7526
0.0025659999999999997,6.8006,6.8326,6.7846,6.7606,6.7446
0.002567,6.8006,6.8326,6.7926,6.7526,6.7446
0.002568,6.8006,6.8326,6.7846,6.7526,6.7366
0.002569,6.7846,6.8166,6.7766,6.7366,6.7286
0.0025700000000000002,6.7926,6.8086,6.7766,6.7366,6.7206
0.0025709999999999995,6.7846,6.8166,6.7606,6.7286,6.7206
0.0025719999999999996,6.7846,6.8006,6.7686,6.7206,6.7126
0.0025729999999999998,6.7846,6.8086,6.7526,6.7206,6.7126
0.002574,6.7766,6.8006,6.7686,6.7046,6.7126
0.002575,6.7606,6.8006,6.7606,6.7206,6.7046
0.002576,6.7686,6.7846,6.7526,6.7046,6.7046
0.0025769999999999994,6.7606,6.7926,6.7446,6.7046,6.6886
0.0025779999999999996,6.7526,6.7926,6.7446,6.6966,6.6966
0.0025789999999999997,6.7446,6.7926,6.7446,6.6886,6.6886
0.00258,6.7446,6.7926,6.7446,6.7046,6.6806
0.002581,6.7446,6.7846,6.7286,6.7046,6.6886
0.002582,6.7446,6.7686,6.7446,6.6886,6.6726
0.0025830000000000002,6.7286,6.7846,6.7206,6.6646,6.6726
0.0025839999999999995,6.7366,6.7686,6.7126,6.6966,6.6806
0.0025849999999999996,6.7526,6.7686,6.7206,6.6806,6.6806
0.0025859999999999998,6.7366,6.7686,6.7366,6.6726,6.6726
0.002587,6.7366,6.7686,6.7126,6.6646,6.6646
0.002588,6.7286,6.7686,6.7046,6.6726,6.6646
0.002589,6.7286,6.7606,6.7046,6.6726,6.6646
0.0025899999999999994,6.7206,6.7606,6.7126,6.6806,6.6566
0.0025909999999999996,6.7206,6.7446,6.6966,6.6726,6.6646
0.0025919999999999997,6.7286,6.7606,6.7126,6.6726,6.6646
0.002593,6.7206,6.7446,6.7046,6.6566,6.6646
